Question,Answer
Does your child need to see a health professional about lazy eye symptoms?,"Yes. If you notice that your child has any of the signs above or you’re worried about your child’s vision, start by seeing yourGPorchild and family health nurse. They can refer your child to anoptometristorophthalmologistif your child needs more tests and checks."
What is astigmatism?,"Astigmatism is a type of refractive error where the front surface of the eye (the cornea) or the lens inside the eye has an irregular curvature which causes the vision to be distorted and blurred. For example, instead of having a round, spherical curvature like a basketball, the cornea may be elongated like a rugby ball. Light rays entering an astigmatic eye are bent unevenly. As a result, these rays do not focus at a single point on the retina, causing some parts of the image to be more out of focus than others. There are a number of different........................"
What Is the Antineutrophil Cytoplasmic Antibodies (ANCA) Test?,An antineutrophil cytoplasmic antibodies test is a blood test that helps distinguish ulcerative colitis from Crohn's.
What Is Glaucoma?,"Glaucoma is a condition that damages your eye's optic nerve, and it gets worse over time. It's often linked to a buildup of pressure inside your eye. Glaucoma tends to run in families. You usually don’t get it until later in life. The increased pressure in your eye, called intraocular pressure, can damage your optic nerve that sends images to your brain. If the damage worsens, glaucoma can cause permanent vision loss or even total blindness within a few years. What glaucoma looks like within the eye. Most people with glaucoma have no early symptoms or pain. Visit your eye......"
Is Glaucoma Hereditary?,"It can be. Your risk is higher if you have a first-degree relative with the condition. That means you could get glaucoma if your mother, father, or full sister or brother has it. Scientists have identified mutations, or changes, in certain genes that can lead to glaucoma."
What Does Glaucoma Feel Like?,"Except for acute closed- or narrow-angle glaucoma, most cases of glaucoma cannot be felt, especially in the early stages. Acute closed- or narrow-angle glaucoma symptoms strike quickly.People often describe it as “the worst eye pain of my life.” Symptomsinclude: Severe throbbingeye pain Eye redness Headaches (on the same side as the affected eye) Blurry or foggy vision Halos around lights Dilated pupil Nausea and vomiting This type of glaucoma is a medical emergency. Go to the emergency room right away. Damage to the optic nerve may begin within a few hours, and if not treated within 6 to 12 hours,..."
How Can I Help a Parent With Glaucoma?,"A glaucoma diagnosis can be scary. Many older people are dealing with several problems that come with age. They often worry that they will become a burden to the family if they lose their vision. So first, reassure your parent that many people keep their vision with proper medication and care. Next, help your loved one establish a routine so they get their eyedrops correctly on schedule. They may have to put them in several times a day. This can be especially difficult for people witharthritis, and it’s not an easy task for anyone to remember. You could offer to............"
What Is Pink Eye?,"Conjunctivitis, also known as pink eye, is aninflammationof the conjunctiva -- the thin, clear tissue that lies over the white part of theeyeand lines the inside of the eyelid. Pink eye can be contagious and is often associated with children, but anyone can get it. Treatment will depend on whether your pink eye is due to a virus, bacteria, allergies, or an irritating substance. (Photo Credit: iStock/Getty Images) Pink eye causes redness, itching, pain, burning, discharge, and swelling in and around the eyes. It might make your vision blurry and make you sensitive to light, but you’ll still be able.................."
How Do You Get Pink Eye?,"Several things could be to blame, but the most common causes of pink eye are: Viruses, including the kind that causes the common cold Bacteria Allergens such as pollen, dust, or smoke. It could also be due to a special type of allergy that affects some people who wearcontact lenses. Other causes include: Irritants such as shampoos, dirt, smoke, and pool chlorine A reaction to eye drops A reaction to wearing contact lens Fungi, amoebas, and parasites Conjunctivitis sometimes results from anSTD.Gonorrheacan bring on a rare but dangerous form of bacterial conjunctivitis. It can lead to vision loss if you......................................."
What Can I Do to Relieve Pink Eye Symptoms?,"A lot of it comes down to cleanliness: Wash your hands often with soap and warm water, especially before eating. Keep your eyes clean. Wash any discharge from your eyes several times a day using a fresh cotton ball or paper towel. Afterward, discard the cotton ball or paper towel and wash your hands with soap and warm water. Wash or change your pillowcase every day until the infection goes away.Clean your bed linens, pillowcases, and towels in hot water and detergent when you do the laundry. Keep your towels, washcloths, and pillows separate from those of others, or use....................."
What Causes Dry Eyes?,"What Causes Dry Eyes? How Are Dry Eyes Treated? Even when you’re happy, your eyes are full of tears. They provide moisture and lubrication to help you see and keep your peepers comfortable. What’s in a tear? They’re a mix of: Water, for moisture Oils, for lubrication Mucus, for even spreading Antibodies and special proteins that keep infection at bay The ingredients come from special glands around your eye. Dry eyes often mean your tear system is out of whack. When tears don’t provide enough moisture, you might notice: A gritty feeling Feeling like there’s something in your eye Itching............"
What Causes Dry Eyes?,"Sometimes, there's a lack of balance in your tear-flow system. Or your air conditioner, heater, or other things around you could dry out your tear film. Other causes include: The natural aging process, especially menopause Side effects of certain drugs likeantihistamines Diseases that affect your ability to make tears, like Sjogren's syndrome, rheumatoid arthritis, and collagen vascular diseases Problems that don’t allow your eyelids to close the way they should"
How Are Dry Eyes Treated?,"There are a number of options. Ask your eye doctor what to do. Treatments include: Artificial tear drops and ointments.This is the most common treatment. Many types of drops are available over the counter. No one product works for everyone, so you might have to try a few to figure out the one that’s right for you. If you havechronic dry eye, you need to use the drops even when your eyes feel fine, or they won’t stay wet enough. If your eyes dry out while you sleep, you can use a thick product, like an ointment, at night. You................................................"
What Is Astigmatism?,"Astigmatism is a condition in which your eye, especially your cornea or the clear front part of the eyeball, isn’t completely round. Almost all of us have some degree of astigmatism. Ideally, an eyeball is shaped like a perfectly round ball. Light comes into it and bends evenly, which gives you a clear view. But if your cornea is shaped more like a football, light gets bent more in one direction than another. That means only part of an object is in focus. Things at a distance may look blurry and wavy. It’s common to have astigmatism along withnearsightedness(myopia) orfarsightedness(hyperopia)......."
What Is an Ophthalmologist?,"An ophthalmologist is a medical doctor who is able to treat complicated eye problems with surgery or other procedures. Ophthalmologists attend medical school. After that, they have a 1-year internship and a residency of 3 years. That's sometimes followed by a fellowship of 1-2 years. These eye doctors offer complete eye care services: Vision services, including eye exams. Medical eye care, for conditions likeglaucoma, iritis, and chemical burns Surgical eye care, for trauma, crossed eyes, cataracts, glaucoma, and other problems Diagnosis and treatment of eye conditions related to other diseases, like diabetes or arthritis Plastic surgery, to raise droopy eyelids..............."
What Is an Optometrist?,"Optometrists focus on regular vision care and primary health care for the eye. After college, they spend 4 years in a professional program and get a doctor of optometry degree. But they don't go to medical school. Some optometrists get additional clinical training or complete a specialty fellowship after optometry school. They: Performeye examsand vision tests Prescribe and fit eyeglasses and contact lenses Monitor eye conditions related to diseases like diabetes Manage and treat conditions like dry eye and glaucoma Provide low-vision aids and vision therapy There are specialties among optometrists. They include: Pediatric optometry.These providers work with babies, toddlers,........."
What Is Eye Strain?,"Your eyes are burning, itchy, and tired. It’s a common condition but rarely serious. You can take simple steps to prevent or ease this problem. If those tactics don’t work, see your doctor. What you’re feeling could be a sign of a deeper condition that requires treatment. This is especially important if you have headaches or other problems like: Eye discomfort Double vision A big change in vision Your eyes might get tired easily if you stare for long periods at a computer, smartphone, or game console."
How Can You Prevent Eye Strain?,Make some simple changes to these things. Your computer screen: Place it 20-26 inches away from your eyes and a little below eye level. Regularly clean dust and fingerprints from the surface. Smudges can reduce contrast and create problems like glare and reflections. Choose screens that tilt and swivel. Use a glare filter for your screen. Your work environment: Change lighting to get rid of glare and harsh reflections. Use an adjustable chair. Place a document holder next to your computer screen. Make sure the lighting in the room you’re in is bright enough. You don’t want your device to................................................
What Is LASIK Eye Surgery?,"LASIK, which stands for laser in-situ keratomileusis, is a popular surgery that can correctvisionin people who arenearsightedorfarsighted, or who haveastigmatism. It’s one of many vision correction surgeries that work by reshaping your cornea, the clear front part of youreye, so that light focuses on the retina in the back of your eye."
Why Is LASIK Done?,"When light doesn’t focus on your retina the way it should, yourvisionis blurry. Doctors call this a refractive error. The basic types include: Nearsightedness (myopia).You see things clearly when they’re close to you, but things farther away are blurry. Farsightedness (hyperopia).You see faraway things more clearly, but closer things are blurry. Astigmatism.This can make everything blurry because of how youreyeis shaped. Talk to your doctor about whether LASIK is right for you. You shouldn’t have the surgery if you: Are younger than 18 Arepregnantor nursing Take certainmedications Have a lot of recent changes to your vision prescription Have thin or........."
How Should I Prepare for LASIK Eye Surgery?,"Before LASIK, you’ll meet with a coordinator or eye surgeon who will talk about what to expect during and after the procedure. They’ll ask about your medical history and do a fulleye exam. This may include tests to measure the thickness of your cornea, refraction, and eye pressure. They may map your corneas and dilate your pupils. The surgeon will answer any questions you may have. Then, you can schedule an appointment for the surgery. If you use rigid gas-permeablecontact lenses, don’t wear them for at least 3 weeks before your evaluation. Don’t wear other types of contact lenses for......"
What Happens During LASIK Eye Surgery?,"Your doctor will give you drops to numb youreyes. You can also ask for a mild sedative. They’ll use an instrument called a microkeratome or a femtosecond laser to make a thin flap in your cornea. They’ll peel it back and use another laser to reshape the tissue underneath. Then, they’ll put the flap back in place, and the surgery is done. The LASIK procedure itself usually takes about 20 minutes. Plan to have someone drive you home after surgery."
What Should I Expect After LASIK Eye Surgery?,"Your eyes will be dry, even though they may not feel that way. Your doctor will give you prescription eyedrops to prevent infection andinflammation, as well as drops to keep your eyes moist. You might have a brief, slight burning feeling orblurry visionwhen you use them. Do not use any eyedrops without asking your doctor about them. Your eyes will probably heal very quickly. Most patients notice better vision within a few days. Call your doctor if you have any problems or unusual side effects. Don’t swim or use a hot tub for 2 weeks after surgery. You might get........."
Eye Pain: What Are the Causes?,"Where Does It Hurt? Common Eye Problems Other Symptoms Tests to Diagnose Eye Pain Treatments  Nearly everyone has had soreeyesat some point. Sometimes they get better on their own, but they can also be a sign of something more serious. Youreyedoctor can figure out what's going on and find the right treatment for you."
What Kind of Inherited Retinal Dystrophy Do You Have?,"You may not know about inherited retinal dystrophy, but this group of eye disorders can steal your vision. Learn more them and how your genes play a role."
What Is Retinal Vein Occlusion?,"Myths and Facts: Dry Eye DiseaseCertain myths persist that can delay the diagnosis and treatment of dry eye disease. Certain myths persist that can delay the diagnosis and treatment of dry eye disease. The Consequences of Not Treating Dry Eye DiseaseLeft untreated, dry eye disease can damage your eyes or worse. Left untreated, dry eye disease can damage your eyes or worse. At-Home Remedies for Dry Eye DiseaseFrom eye drops to warm compresses, these simple solutions help relieve dry, gritty eyes. From eye drops to warm compresses, these simple solutions help relieve dry, gritty eyes. Treatments for Thyroid Eye DiseaseYour...................................................................................................................................................................................................................................."
What Is an Ophthalmologist?,"*Apellis does not endorse or recommend any specific eye care professional included in this locator tool and does not control the information contained in the locator. Apellis is not responsible for the information provided by or actions of any physician listed. All content on the Academy’s website is protected by copyright law and theTerms of Service. This content may not be reproduced, copied, or put into any artificial intelligence program, including large language and generative AI models, withoutpermissionfrom the Academy. Contact Us About the Academy Jobs at the Academy Financial Relationships with Industry Medical Disclaimer Privacy Policy Terms of Service............"
What do EyeCare America patients say about us?,"All content on the Academy’s website is protected by copyright law and theTerms of Service. This content may not be reproduced, copied, or put into any artificial intelligence program, including large language and generative AI models, withoutpermissionfrom the Academy. Contact Us About the Academy Jobs at the Academy Financial Relationships with Industry Medical Disclaimer Privacy Policy Terms of Service Statement on Artificial Intelligence Help For Advertisers For Media Ophthalmology Job Center"
What is the Truhlsen-Marmor Museum of the Eye®?,"The American Academy of Ophthalmology Truhlsen-Marmor Museum of the Eye is the world’s only free, public museum dedicated to the fascinating science of sight. Look through the pupil of an enormous eye, explore interactive displays and try on a virtual reality headset to see how new technology can impact medicine. Through high-tech exhibits and a renowned collection of ophthalmic artifacts, you’ll discover surprising facts about how your vision works and the field of medicine devoted to protecting it.Through innovative exhibits, school tours, and free resource materials, the museum promotes eye health on a broad scale."
Is Virtual Reality (VR) Bad for Your Eyes?,"Do you find watching 3-D movies makes your eyes very tired? Or do you experience headaches or feel dizzy when gaming using a virtual reality (VR) headset? You may have a problem with focusing ordepth perception. Augmented reality (AR) and VR headsets work the same way 3-D eyeglasses and movie screens do—by showing different images to each eye to create the illusion of depth. This works because this is how we see objects at different distances in real life. Those objects appear in slightly different places in each eye’s field of vision. In real life or when using these technologies,.................."
What Does a Scratched Eye Feel Like?,"Some common symptoms of a scratched eye include: Eye pain Afeeling that something is stuck in your eye Tearing If you've scratched the white part of your eye, you may see aspot of blood, a scratched line or an area of general redness on yourconjunctivaorsclera. If you've scratched or scraped yourcornea— the clear, round dome at the front of the eye, that covers theirisandpupil— you may experience moresevere symptoms: Blurry vision Sensitivity to light Headache This is called acorneal abrasionand it can permanently affect your vision. It's important to see anophthalmologistright away. If you're in a lot of pain, are..."
Can a Scratched Eye Heal on its Own?,"Sometimes. Most corneal abrasions and eye scratches are minor and will heal on their own in a few days, but it's always a good idea to see a doctor for aneye exam. It's important not to useanyeye drops without first asking a doctor. There are no over-the-counter eye drops specifically for eye scratches. Your ophthalmologist may treat an eye scratch with antibiotic eye drops or ointment. Steroid eye drops may be prescribed to reduce inflammation and reduce the chance of scarring. You may also be givenlubricating eye dropsto make you more comfortable."
How Should I Treat an Eye Scratch or Scrape?,"Here are some do's and don'ts when caring for an eye scratch: Do rinse your eye with saline solution or clean water.If you don't have an eyecup, use a small, clean glass. Rest the rim of the glass on the bone at the base of your eye socket, below your lowereyelid. The water or saline solution may flush the foreign object from your eye. Do blink.Blinking can help get rid of small bits of dust or sand in your eye. Do pull your upper eyelid over your lower eyelid.Thelashesfrom your lower eyelid may be able to brush away any foreign.................."
How Long Does a Scratched Eye Take to Heal?,"Eyes often heal very quickly, so an eye scratch may heal faster than a cut on your skin would. But each scratch is different and there’s no way to predict exactly how long it will take for an eye scratch to heal. Your ophthalmologist can tell you what to expect after they've examined your eye. Ask your eye doctor these questions during your appointment: How long will the pain last? How long should I take my eye medication? Are there any activities I should avoid while my eye heals? If your symptoms go on for longer than the doctor told.................."
Nearsightedness: What Is Myopia?,"Nearsightedness (myopia) is when close-up objects look clear but distant objects are blurry. For instance, you can read a map clearly but have trouble seeing well enough to drive a car.Video: How the Eye WorksNearsightedness: Myopia TypesNearsightedness: Myopia SymptomsNearsightedness: Myopia CausesVideo: Nearsightedness (Myopia)Nearsightedness: Myopia DiagnosisNearsightedness: Myopia TreatmentNearsightedness: Myopia PreventionAdditional Information About MyopiaNearsightedness is a common eye focusing disorder. It has been on the rise for several decades. It is estimated that by 2050, nearly half the people in the world will have nearsightedness.Video: How the eye worksNearsightedness: Myopia TypesHigh myopia and low myopia.Mild nearsightedness (generally less than 3 diopters of...................................."
Looking for more sources of eye health information?,Browse NEI’s Eye Health Organizations Database See tips about finding an eye doctor near you Facebook Twitter LinkedIn YouTube
How will my eye doctor check for AMD?,"Eye doctors can check for AMD as part of a comprehensive dilated eye exam. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for AMD and other eye problems. Your doctor may also recommend doing a test called optical coherence tomography (OCT). In an OCT test, your eye doctor will take pictures of the inside of your eye with a special machine."
How do I live with vision loss from AMD?,"Not everyone with AMD develops late AMD or gets it in both eyes. But if you do, living with vision loss from AMD can be challenging. Having low vision means that even with glasses, contact lenses, medicine, or surgery, your vision loss makes it hard to do everyday tasks. The good news is, there are things that can help — like low vision devices and vision rehab services. Vision rehab can help you learn the skills you need to stay independent and active with low vision."
What is amblyopia?,"Amblyopia (also called lazy eye) is a type of poor visionthat usually happens in just 1 eye but less commonly in both eyes. It develops when there’s a breakdown in how the brain and the eye work together, and the brain can’t recognize the sight from 1 eye. Over time, the brain relies more and more on the other, stronger eye — while vision in the weaker eye gets worse. It’s called “lazy eye” because the stronger eye worksbetter. But people with amblyopia are not lazy, and they can’t control the way their eyes work. Amblyopia starts in childhood, and..."
What are the symptoms of amblyopia?,"Symptoms of amblyopia can be hard to notice. Kids with amblyopia may have poor depth perception — they have trouble telling how near or far something is. Parents may also notice signs that their child is struggling to see clearly, like: Squinting Shutting 1 eye Tilting their head In many cases, parents don’t know their child has amblyopia until a doctor diagnoses it during an eye exam. That’s why it’s important for all kids to get a vision screening at least once between ages 3 and 5."
Is my child at risk for amblyopia?,"Some kids are born with amblyopia and others develop it later in childhood. The chances of having amblyopia are higher in kids who: Were born early (premature) Were smaller than average at birth Have a family history of amblyopia, childhood cataracts, or other eye conditions Have developmental disabilities"
What causes amblyopia?,"In many cases, doctors don’t know the cause of amblyopia. But sometimes, a different vision problem can lead to amblyopia. Normally, the brain uses nerve signals from both eyes to see. But if an eye condition makes vision in 1 eye worse, the brain may try to work around it. It starts to “turn off” signals from the weaker eye and rely only on the stronger eye. Some eye conditions that can lead to amblyopia are: Refractive errors.These include common vision problems like nearsightedness (having trouble seeing far away), farsightedness (having trouble seeing things up close), and astigmatism (which can........."
How will my child’s doctor check for amblyopia?,"As part of a normalvision screening, your child’s doctor will look for signs of amblyopia. All kids ages 3 to 5 need to have their vision checked at least once."
What’s the treatment for amblyopia?,"If there’s a vision problem causing amblyopia, the doctor may treat that first. For example, doctors may recommend glasses or contacts (for kids who are nearsighted or farsighted) or surgery (for kids with cataract). The next step is to re-train the brain and force it to use the weaker eye. The more the brain uses it, the stronger it gets. Treatments include: Wearing an eye patch on the stronger eye.By covering up this eye with a stick-on eye patch (similar to a Band-Aid), the brain has to use the weaker eye to see. Some kids only need to wear the....................."
What is astigmatism?,Astigmatism is a common eye problem that can make your vision blurry or distorted. It happens when your cornea (the clear front layer of your eye) or lens (an inner part of your eye that helps the eye focus) has a different shape than normal. The only way to find out if you have astigmatism is to get an eye exam. Eyeglasses or contact lenses can help you see better — and some people can get surgery to fix their astigmatism.
What are the symptoms of astigmatism?,"The most common symptoms of astigmatism are: Blurry vision Needing to squint to see clearly Headaches Eye strain Trouble seeing at night If you have mild astigmatism, you might not notice any symptoms. That’s why it’s important to get regular eye exams — your eye doctor can help you make sure you’re seeing as clearly as possible. This is especially true for children, who may be less likely to realize that their vision isn’t normal."
What causes astigmatism?,"Astigmatism happens when your cornea or lens has a different shape than normal. The shape makes light bend differently as it enters your eye, causing a refractive error. Doctors don’t know what causes astigmatism, and there’s no way to prevent it. Some people are born with astigmatism, but many people develop it as children or young adults. Some people may also develop astigmatism after an eye injury or an eye surgery."
How will my eye doctor check for astigmatism?,Eye doctors can check for astigmatism as part of a dilated eye exam. The exam is simple and painless.
What's the treatment for astigmatism?,"The most common treatments for astigmatism are eyeglasses orcontact lenses. Your eye doctor will prescribe the right lenses to help you see as clearly as possible. Doctors can also use surgery to treat astigmatism.The surgery changes the shape of your cornea so that it can focus light correctly. If your astigmatism is mild, you may not need treatment. Your eye doctor can help you figure out if you need to get treated, and what type of treatment is best for you. Last updated:November 15, 2023"
What are cataracts?,"A cataract is a cloudy area in the lens of your eye(theclear part of the eye that helps to focus light). Cataracts are very common as you get older.In fact, more than half of all Americans age 80 or older either have cataracts or have had surgery to get rid of cataracts. At first, you may not notice that you have a cataract. But over time, cataracts can make your vision blurry, hazy, or less colorful. You may have trouble reading or doing other everyday activities. Over time, cataracts can lead to vision loss. The good news is that surgery..."
What are the types of cataracts?,"Most cataracts arerelatedto age— they happen because of normal changes in your eyes as you get older. But you can get cataracts for other reasons —likeafter an eye injury or after surgery for another eye problem (likeglaucoma). No matter what type of cataract you have,you’ll need surgery to treatit."
What are the symptoms of cataracts?,"You might not have any symptoms at first, when cataracts are mild. But as they grow, cataracts can cause changes in your vision. For example, you may notice that: Your vision is cloudy or blurry Colors look faded You can’t see well at night Lamps, sunlight, or headlights seem too bright You see a halo around lights You see double (this sometimes goes away as the cataract gets bigger) You have to change the prescription for your glasses or contact lenses often Talk with your eye doctor if you have any of these symptoms — they could also be signs..."
Am I at risk for cataracts?,"Your risk for cataracts goes up as you get older. You’re also at higher risk if you: Have certain health problems, like diabetes Smoke Drink too much alcohol Have a family history of cataracts Have had an eye injury, eye surgery, or radiation treatment on your upper body Have spent a lot of time in the sun Take steroids — medicines used to treat some health problems, like arthritis or allergies If you’re worried you might be at risk for cataracts, talk with your doctor. Ask if there’s anything you can do to lower your risk."
What causes cataracts?,"Most cataracts happen because of normal changes in your eyes as you get older. When you’re young, the lens in your eye is clear. Around age 40, the proteins in the lens of your eye start to break down and clump together. This clump makes a cloudy area on your lens — known as a cataract. Over time, the cataract gets worse and makes more of your lens cloudy."
How can I prevent cataracts?,"You can take steps to protect your eyes from cataracts: Protect your eyes from the sun.Wear sunglasses and a hat with a brim to block the sun. Protect your eyes from injury.While doing activities like using power tools or playing certain sports, wear protective eyewear to protect your eyes from getting accidentally injured. Quit smoking.If you’re ready to quit, call 1-800-QUIT-NOW (1-800-784-8669) for free support. Make eye-healthy food choices.Eat plenty of healthy foods — like fruits and vegetables, leafy greens, nuts, and whole grains."
How will my eye doctor check for cataracts?,"An eye doctor can check for cataracts as part of a dilated eye exam. If you’re age 60 or older, get a dilated eye exam every 1 to 2 years. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for cataracts and other eye problems."
What’s the treatment for cataracts?,"Surgery is the only way to get rid of a cataract, but you may not need to get surgery right away. Home treatment.Early on, you may be able to make small changes to manage cataracts. You can do things like:Use brighter lights at home or workWear anti-glare sunglassesUse magnifying lenses for reading and other activities Home treatment.Early on, you may be able to make small changes to manage cataracts. You can do things like: Use brighter lights at home or work Wear anti-glare sunglasses Use magnifying lenses for reading and other activities New glasses or contacts.A new prescription for eyeglasses.............................."
What’s the latest research on cataracts?,Scientists are studying what causes cataracts and how we can find them earlier and treat them better. NEI also funds research on new treatment options.
What are the types of color vision deficiency?,"The most common type of color vision deficiency makes it hard to tell the difference between red and green. Another type makes blue and yellow look the same. In rare cases, people have complete color vision deficiency, which means they don’t see color at all."
What are the symptoms of color vision deficiency?,"The main symptom of color vision deficiency is not seeing colors the way most people do. If you have color vision deficiency, you may have trouble seeing: The difference between colors How bright colors are Different shades of colors Symptoms of color vision deficiency are often so mild that they’re hard to notice. That’s why many people with color vision deficiency don’t know they have it. And people usually adjust to differences in how they see color. People with very serious cases of color vision deficiency might have other symptoms, too — like quick side-to-side eye movements (nystagmus) or sensitivity..."
Am I at risk for color vision deficiency?,"Men have a much higher risk than women for color vision deficiency. You’re also more likely to have color vision deficiency if you: Have a family history of color vision deficiency Have certain eye diseases Have certain health problems, like diabetes, Alzheimer’s disease, or multiple sclerosis (MS) Take certain medicines Are white If you think you may have color vision deficiency, talk with your eye doctor about getting checked."
What causes color vision deficiency?,"Most people who have color vision deficiency are born with it. This is because the most common types of color vision deficiency are genetic, meaning they’re passed down from parents. Color vision deficiency can also happen because of an injury to the retina (the light-sensitive layer of tissue in the back of the eye), the optic nerve (which connects the eye to the brain), or the brain itself.Some examples of injuries that can lead to color vision deficiency are: Retinal detachment(when the retina is pulled away from its normal position at the back of the eye) Eye injuries caused by............"
What's the treatment for color vision deficiency?,"There’s no cure for color vision deficiency that’s passed down in families (inherited), but most people adjust to it. Children with color vision deficiency may need help with some classroom activities, and adults with color vision deficiency may need accommodations to do jobs that rely on telling the difference between colors,like being a graphic designer. If your color vision deficiency is happening because of another health problem, your doctor will treat the condition that’s causing the problem. If you’re taking a medicine that causes color vision deficiency, your doctor may adjust how much you take or suggest you switch to.................."
What is the latest research on color vision deficiency?,"Research studies suggest that gene therapies (treatments that change genes in a target location) are promising fora severe type of color vision deficiency. Last updated:November 15, 2023"
What is the cornea?,The cornea is the clear outer layer at the front of the eye.Thecornea helps your eye to focus light so you can see clearly.
What are the main types of corneal conditions?,"There are several common conditions that affect thecornea. Injuries. Small abrasions (scratches) on the cornea usually heal on their own. Deeper scratches or other injuries can cause corneal scarring and vision problems. Allergies. Allergies to pollen can irritate the eyes and cause allergic conjunctivitis (pink eye). This can make your eyes red, itchy, and watery. Keratitis. Keratitis is inflammation (redness and swelling) of the cornea. Infections related to contact lenses are the most common cause of keratitis. Dry eye. Dry eye happens when your eyes don’t make enough tears to stay wet. This can be uncomfortable and may cause vision........."
Am I at risk for corneal conditions?,"Some corneal conditions, like corneal dystrophies, run in families. But there are steps you can take to lower your risk of corneal injuries and infections. Toprevent corneal injuries,wear protective eyewear when you: Play sports that use a ball or puck, like baseball or hockey Do yardwork, like mowing the lawn or using a weedwhacker Make repairs, like painting or hammering Use machines, like sanders or drills Use chemicals, like bleach or pesticides If you wear contact lenses, always follow the instructions to clean, disinfect, and store your lenses. This can help prevent corneal infections, like keratitis."
Feel like something’s stuck in your eye?,"Try blinking several times Try rinsing your eye with clean water or saline (salt) solution Try pulling your upper eyelid down over your lower eyelid Don’t rub your eye — you could scratch your cornea If an object is stuck in your eye, don’t try to remove it yourself — go to your eye doctor or the emergency room"
How will my eye doctor check for corneal conditions?,"Eye doctors can check for corneal conditions as part of a comprehensiveeye exam. The exam is simple and painless. To check for corneal abrasions (scratches), your eye doctor may use a special type of eye drops called fluorescein dye. The dye makes corneal abrasions easier to see."
What is the treatment for corneal conditions?,"Many corneal conditions can be treated with prescription eye drops or pills. If you have advanced corneal disease, you may need a different treatment. Laser treatment.To treat some corneal dystrophies and other conditions, doctors can use a type of laser treatment called phototherapeutic keratectomy (PTK) to reshape the cornea, remove scar tissue, and make vision clearer. Laser treatment.To treat some corneal dystrophies and other conditions, doctors can use a type of laser treatment called phototherapeutic keratectomy (PTK) to reshape the cornea, remove scar tissue, and make vision clearer. Corneal transplant surgery.If the damage to your cornea can’t be repaired, doctors..............."
What is the latest research on corneal conditions?,"Scientists are studying what causes corneal disease and how we can find it earlier and treat it better. NEI also funds research on new treatment options. Last updated:November 15, 2023"
What is diabetic retinopathy?,"Diabetic retinopathy is an eye condition that can cause vision loss and blindness in people who have diabetes. It affects blood vessels in the retina (the light-sensitive layer of tissue in the back of your eye). If you have diabetes, it’s important to get a comprehensive dilated eye exam at least once a year. Diabetic retinopathy may not have any symptoms at first — but finding it early can help you take steps to protect your vision. Managing your diabetes — by staying physically active, eating healthy, and taking your medicine — can also help you prevent or delay vision..."
What are the symptoms of diabetic retinopathy?,"The early stages of diabetic retinopathy usually don’t have any symptoms. Some people notice changes in their vision, like trouble reading or seeing faraway objects. These changes may come and go. In later stages of the disease, blood vessels in the retina start to bleed into the vitreous (gel-like fluid that fills your eye). If this happens, you may see dark, floating spots or streaks that look like cobwebs. Sometimes, the spots clear up on their own — but it’s important to get treatment right away. Without treatment, scars can form in the back of the eye. Blood vessels may..."
What other problems can diabetic retinopathy cause?,"Diabetic retinopathy can lead to other serious eye conditions: Diabetic macular edema (DME).Over time, about 1 in 15 people with diabeteswill develop DME. DME happens when blood vessels in the retina leak fluid into the macula (a part of the retina needed for sharp, central vision). This causes blurry vision. Neovascular glaucoma.Diabetic retinopathy can cause abnormal blood vessels to grow out of the retina and block fluid from draining out of the eye. This causes a type of glaucoma (a group of eye diseases that can cause vision loss and blindness). Retinal detachment.Diabetic retinopathy can cause scars to form in..."
Am I at risk for diabetic retinopathy?,"Anyone with any kind of diabetes can get diabetic retinopathy — including people with type 1, type 2, and gestational diabetes (a type of diabetes that can develop during pregnancy). Your risk increases the longer you have diabetes.Over time, more than half of people with diabetes will develop diabetic retinopathy.The good news is that you can lower your risk of developing diabetic retinopathy by controlling your diabetes. Women with diabetes who become pregnant — or women who develop gestational diabetes — are at high risk for getting diabetic retinopathy. If you have diabetes and are pregnant, have a comprehensive dilated..."
What causes diabetic retinopathy?,"Diabetic retinopathy is caused by high blood sugar due to diabetes. Over time, having too much sugar in your blood can damage your retina — the part of your eye that detects light and sends signals to your brain through a nerve in the back of your eye (optic nerve). Diabetes damages blood vessels all over the body. The damage to your eyes starts when the sugar in your blood causes changes to the tiny blood vessels that go to your retina. These changes make it harder for the blood to flow, leading to blocked blood vessels that leak fluid..."
How will my eye doctor check for diabetic retinopathy?,"Eye doctors can check for diabetic retinopathy as part of a dilated eye exam. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for diabetic retinopathy and other eye problems. If you have diabetes, it’s very important to get regular eye exams. If you do develop diabetic retinopathy, early treatment can stop the damage and prevent blindness. If your eye doctor thinks you may have severe diabetic retinopathy or DME, they may do a test called a fluorescein angiogram. This test lets the doctor..."
What can I do to prevent diabetic retinopathy?,"Managing your diabetes is the best way to lower your risk of diabetic retinopathy. That means keeping your blood sugar levels in a healthy range. You can do this by getting regular physical activity, eating healthy, and carefully following yourdoctor’sinstructions for your insulin or other diabetes medicines. To make sure your diabetes treatment plan is working, you’ll need a special lab test called an A1C test. This test shows your average blood sugar level over the past 3 months. You can work with your doctor to set a personal A1C goal. Meeting your A1C goal can help prevent or manage......"
